sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078
K,29,32476.0,32934.0,32515.0,31425.0,31283.0,30533.0,30147.0,29877.0,29629.0,28469.0,27648.0,27416.0,26758.0,27952.0,25228.0,26796.0,26622.0,26133.0,26012.0,25753.0,25476.0,25351.0,24992.0,24668.0,24686.0,24281.0,23911.0,23731.0,23797.0,23761.0,23598.0,25188.0,27192.0,28605.0,30127.0,31752.0,31323.0,31296.0,30568.0,30271.0,29610.0
K,30,31786.0,32473.0,32928.0,32510.0,31418.0,31280.0,30528.0,30142.0,29874.0,29625.0,28463.0,27645.0,27414.0,26757.0,27952.0,25227.0,26794.0,26621.0,26132.0,26011.0,25753.0,25472.0,25351.0,24992.0,24667.0,24685.0,24281.0,23910.0,23729.0,23796.0,23761.0,23597.0,25188.0,27192.0,28605.0,30126.0,31752.0,31323.0,31295.0,30568.0,30269.0
K,31,32002.0,31781.0,32466.0,32920.0,32508.0,31416.0,31276.0,30525.0,30137.0,29873.0,29621.0,28463.0,27642.0,27411.0,26755.0,27952.0,25227.0,26794.0,26621.0,26132.0,26005.0,25750.0,25472.0,25350.0,24990.0,24666.0,24684.0,24279.0,23910.0,23729.0,23795.0,23761.0,23596.0,25188.0,27192.0,28603.0,30124.0,31752.0,31322.0,31293.0,30568.0
K,32,31395.0,31996.0,31777.0,32464.0,32919.0,32506.0,31410.0,31273.0,30521.0,30135.0,29871.0,29618.0,28460.0,27641.0,27410.0,26750.0,27952.0,25225.0,26793.0,26621.0,26130.0,26005.0,25749.0,25471.0,25349.0,24990.0,24666.0,24683.0,24278.0,23909.0,23728.0,23789.0,23759.0,23596.0,25187.0,27192.0,28602.0,30122.0,31751.0,31321.0,31293.0
K,33,31466.0,31390.0,31990.0,31770.0,32461.0,32913.0,32501.0,31408.0,31269.0,30519.0,30129.0,29870.0,29616.0,28457.0,27639.0,27409.0,26750.0,27951.0,25221.0,26793.0,26621.0,26128.0,26004.0,25749.0,25471.0,25348.0,24989.0,24666.0,24681.0,24278.0,23908.0,23726.0,23789.0,23758.0,23595.0,25186.0,27191.0,28601.0,30120.0,31749.0,31320.0
K,34,31327.0,31464.0,31386.0,31986.0,31769.0,32456.0,32905.0,32496.0,31407.0,31267.0,30516.0,30128.0,29870.0,29612.0,28456.0,27638.0,27408.0,26750.0,27950.0,25219.0,26793.0,26621.0,26127.0,26002.0,25747.0,25468.0,25346.0,24987.0,24666.0,24679.0,24278.0,23907.0,23726.0,23788.0,23758.0,23594.0,25186.0,27191.0,28600.0,30119.0,31747.0
K,35,30991.0,31314.0,31461.0,31376.0,31977.0,31766.0,32447.0,32897.0,32493.0,31403.0,31261.0,30512.0,30125.0,29870.0,29609.0,28453.0,27636.0,27408.0,26748.0,27949.0,25216.0,26793.0,26621.0,26127.0,26001.0,25745.0,25468.0,25346.0,24985.0,24665.0,24674.0,24277.0,23905.0,23726.0,23787.0,23757.0,23594.0,25185.0,27191.0,28598.0,30118.0
K,36,31457.0,30983.0,31307.0,31454.0,31368.0,31974.0,31760.0,32443.0,32893.0,32489.0,31395.0,31258.0,30509.0,30124.0,29868.0,29608.0,28452.0,27634.0,27405.0,26747.0,27948.0,25216.0,26793.0,26618.0,26125.0,26000.0,25745.0,25468.0,25345.0,24985.0,24664.0,24672.0,24275.0,23904.0,23726.0,23784.0,23756.0,23592.0,25184.0,27190.0,28597.0
K,37,32720.0,31449.0,30974.0,31301.0,31449.0,31363.0,31971.0,31753.0,32437.0,32892.0,32484.0,31393.0,31255.0,30507.0,30120.0,29866.0,29604.0,28451.0,27633.0,27404.0,26746.0,27947.0,25212.0,26792.0,26617.0,26124.0,25997.0,25745.0,25466.0,25343.0,24984.0,24663.0,24672.0,24273.0,23903.0,23725.0,23784.0,23756.0,23589.0,25182.0,27190.0
K,38,32933.0,32708.0,31439.0,30967.0,31297.0,31437.0,31356.0,31969.0,31747.0,32435.0,32889.0,32480.0,31391.0,31250.0,30505.0,30119.0,29863.0,29603.0,28451.0,27633.0,27404.0,26744.0,27946.0,25210.0,26791.0,26617.0,26122.0,25997.0,25744.0,25466.0,25339.0,24984.0,24663.0,24671.0,24272.0,23899.0,23725.0,23782.0,23756.0,23589.0,25181.0
K,39,33227.0,32919.0,32699.0,31430.0,30964.0,31289.0,31432.0,31348.0,31959.0,31743.0,32431.0,32888.0,32478.0,31390.0,31247.0,30504.0,30116.0,29862.0,29602.0,28449.0,27633.0,27403.0,26744.0,27945.0,25210.0,26791.0,26614.0,26121.0,25996.0,25741.0,25464.0,25336.0,24983.0,24659.0,24668.0,24271.0,23899.0,23722.0,23781.0,23753.0,23588.0
K,40,34221.0,33218.0,32903.0,32689.0,31424.0,30962.0,31284.0,31418.0,31333.0,31954.0,31738.0,32424.0,32886.0,32477.0,31388.0,31246.0,30503.0,30114.0,29858.0,29600.0,28446.0,27630.0,27402.0,26742.0,27945.0,25207.0,26791.0,26614.0,26119.0,25989.0,25741.0,25462.0,25336.0,24983.0,24656.0,24666.0,24270.0,23898.0,23721.0,23781.0,23751.0
