sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,26,35747.0,34366.0,33336.0,33050.0,32844.0,31543.0,31049.0,31386.0,31497.0,31424.0,32017.0,31837.0,32517.0,32960.0,32527.0,31447.0,31302.0,30533.0,30156.0,29884.0,29636.0,28495.0,27636.0,27408.0,26758.0,27971.0,25225.0,26872.0,26905.0,26134.0,25972.0,25865.0,25380.0,25220.0,25045.0,24730.0
K,27,35920.0,35739.0,34359.0,33325.0,33039.0,32829.0,31537.0,31039.0,31372.0,31490.0,31417.0,32006.0,31830.0,32509.0,32954.0,32519.0,31443.0,31295.0,30528.0,30154.0,29880.0,29631.0,28488.0,27635.0,27402.0,26757.0,27970.0,25222.0,26869.0,26904.0,26134.0,25972.0,25865.0,25380.0,25219.0,25044.0
K,28,36385.0,35906.0,35728.0,34342.0,33309.0,33022.0,32819.0,31531.0,31030.0,31363.0,31483.0,31412.0,31994.0,31819.0,32502.0,32949.0,32515.0,31439.0,31289.0,30525.0,30150.0,29876.0,29627.0,28486.0,27632.0,27401.0,26756.0,27970.0,25221.0,26869.0,26902.0,26132.0,25971.0,25862.0,25379.0,25218.0
K,29,36994.0,36368.0,35897.0,35716.0,34328.0,33301.0,33009.0,32811.0,31513.0,31020.0,31360.0,31473.0,31400.0,31988.0,31815.0,32496.0,32945.0,32506.0,31433.0,31284.0,30523.0,30147.0,29874.0,29627.0,28484.0,27629.0,27401.0,26755.0,27969.0,25221.0,26867.0,26901.0,26132.0,25970.0,25862.0,25379.0
K,30,37694.0,36985.0,36355.0,35888.0,35704.0,34314.0,33288.0,32998.0,32804.0,31504.0,31011.0,31354.0,31460.0,31398.0,31984.0,31808.0,32486.0,32939.0,32503.0,31432.0,31282.0,30519.0,30146.0,29872.0,29623.0,28482.0,27626.0,27400.0,26753.0,27969.0,25220.0,26867.0,26901.0,26132.0,25970.0,25861.0
K,31,38587.0,37678.0,36968.0,36341.0,35873.0,35689.0,34300.0,33279.0,32989.0,32794.0,31493.0,31002.0,31348.0,31452.0,31394.0,31980.0,31804.0,32480.0,32932.0,32499.0,31430.0,31277.0,30514.0,30145.0,29870.0,29618.0,28480.0,27625.0,27398.0,26752.0,27969.0,25219.0,26864.0,26900.0,26132.0,25969.0
K,32,39395.0,38577.0,37669.0,36958.0,36328.0,35858.0,35680.0,34291.0,33268.0,32986.0,32782.0,31488.0,30992.0,31341.0,31443.0,31387.0,31975.0,31799.0,32477.0,32928.0,32497.0,31427.0,31272.0,30511.0,30143.0,29867.0,29618.0,28475.0,27622.0,27398.0,26748.0,27968.0,25218.0,26864.0,26897.0,26131.0
K,33,38889.0,39379.0,38566.0,37655.0,36948.0,36315.0,35843.0,35669.0,34277.0,33251.0,32977.0,32773.0,31477.0,30987.0,31339.0,31431.0,31382.0,31974.0,31791.0,32473.0,32926.0,32494.0,31423.0,31269.0,30508.0,30141.0,29867.0,29616.0,28474.0,27621.0,27396.0,26746.0,27967.0,25217.0,26864.0,26896.0
K,34,38601.0,38879.0,39371.0,38551.0,37646.0,36931.0,36306.0,35830.0,35657.0,34264.0,33246.0,32965.0,32768.0,31472.0,30985.0,31335.0,31427.0,31375.0,31964.0,31788.0,32469.0,32922.0,32487.0,31417.0,31267.0,30506.0,30140.0,29867.0,29613.0,28473.0,27619.0,27396.0,26743.0,27967.0,25217.0,26863.0
K,35,37403.0,38579.0,38856.0,39350.0,38530.0,37629.0,36911.0,36292.0,35814.0,35635.0,34250.0,33234.0,32952.0,32758.0,31462.0,30975.0,31329.0,31414.0,31364.0,31960.0,31779.0,32462.0,32915.0,32484.0,31411.0,31266.0,30503.0,30139.0,29866.0,29613.0,28469.0,27618.0,27394.0,26741.0,27966.0,25217.0
