sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053
K,63,35496.0,34087.0,33058.0,32536.0,33257.0,33664.0,34181.0,34103.0,34655.0,34433.0,35083.0,35376.0,36022.0,36724.0,37881.0,38236.0
K,64,35030.0,35419.0,34024.0,32995.0,32482.0,33202.0,33626.0,34122.0,34055.0,34621.0,34407.0,35044.0,35351.0,36000.0,36701.0,37848.0
K,65,36073.0,34896.0,35299.0,33897.0,32890.0,32395.0,33122.0,33554.0,34062.0,33989.0,34570.0,34367.0,35007.0,35318.0,35950.0,36656.0
K,66,36064.0,35940.0,34777.0,35192.0,33794.0,32775.0,32313.0,33040.0,33488.0,33980.0,33926.0,34511.0,34308.0,34968.0,35293.0,35926.0
K,67,35326.0,35933.0,35804.0,34667.0,35095.0,33716.0,32693.0,32240.0,32976.0,33436.0,33932.0,33877.0,34462.0,34284.0,34928.0,35272.0
K,68,35796.0,35195.0,35801.0,35681.0,34576.0,34997.0,33612.0,32619.0,32168.0,32923.0,33398.0,33880.0,33838.0,34425.0,34255.0,34904.0
K,69,35187.0,35655.0,35070.0,35671.0,35566.0,34474.0,34899.0,33524.0,32535.0,32093.0,32877.0,33352.0,33839.0,33799.0,34397.0,34212.0
K,70,33951.0,34962.0,35458.0,34873.0,35478.0,35403.0,34322.0,34762.0,33399.0,32435.0,32000.0,32794.0,33291.0,33780.0,33748.0,34345.0
K,71,33060.0,33776.0,34773.0,35282.0,34691.0,35306.0,35254.0,34194.0,34631.0,33307.0,32333.0,31906.0,32724.0,33239.0,33718.0,33697.0
K,72,32340.0,32877.0,33572.0,34586.0,35131.0,34553.0,35169.0,35117.0,34092.0,34533.0,33219.0,32255.0,31843.0,32672.0,33183.0,33660.0
K,73,31539.0,32157.0,32673.0,33389.0,34391.0,34977.0,34411.0,35044.0,34998.0,33983.0,34431.0,33142.0,32185.0,31790.0,32623.0,33137.0
K,74,30159.0,31349.0,31963.0,32534.0,33233.0,34231.0,34827.0,34287.0,34908.0,34893.0,33889.0,34361.0,33088.0,32123.0,31742.0,32570.0
K,75,28734.0,29839.0,31041.0,31675.0,32209.0,32958.0,33986.0,34560.0,34061.0,34715.0,34734.0,33755.0,34235.0,32997.0,32031.0,31660.0
K,76,27897.0,28442.0,29545.0,30745.0,31405.0,31976.0,32695.0,33732.0,34357.0,33876.0,34542.0,34583.0,33634.0,34139.0,32890.0,31941.0
K,77,27148.0,27597.0,28150.0,29253.0,30447.0,31147.0,31721.0,32443.0,33510.0,34175.0,33717.0,34387.0,34461.0,33538.0,34049.0,32803.0
K,78,26710.0,26866.0,27324.0,27898.0,29004.0,30228.0,30918.0,31494.0,32254.0,33335.0,33995.0,33561.0,34280.0,34353.0,33438.0,33953.0
K,79,26088.0,26438.0,26618.0,27072.0,27692.0,28790.0,29983.0,30690.0,31303.0,32063.0,33182.0,33838.0,33434.0,34183.0,34275.0,33347.0
K,80,24774.0,25620.0,25943.0,26130.0,26642.0,27302.0,28389.0,29615.0,30339.0,30989.0,31801.0,32928.0,33604.0,33221.0,33999.0,34085.0
K,81,24368.0,24271.0,25155.0,25524.0,25706.0,26256.0,26920.0,28038.0,29280.0,30015.0,30691.0,31554.0,32731.0,33404.0,33051.0,33845.0
K,82,22970.0,23906.0,23833.0,24754.0,25120.0,25353.0,25898.0,26616.0,27737.0,28976.0,29749.0,30426.0,31328.0,32539.0,33235.0,32884.0
K,83,21892.0,22512.0,23494.0,23421.0,24324.0,24730.0,24989.0,25593.0,26300.0,27461.0,28677.0,29518.0,30214.0,31141.0,32351.0,33064.0
K,84,20909.0,21469.0,22110.0,23126.0,23047.0,23962.0,24389.0,24671.0,25311.0,26030.0,27230.0,28473.0,29317.0,30034.0,31005.0,32189.0
K,85,19476.0,20100.0,20689.0,21355.0,22405.0,22392.0,23348.0,23806.0,24138.0,24837.0,25567.0,26828.0,28090.0,29021.0,29746.0,30679.0
K,86,17465.0,18705.0,19387.0,20011.0,20691.0,21731.0,21825.0,22782.0,23313.0,23694.0,24390.0,25186.0,26500.0,27771.0,28741.0,29429.0
K,87,16846.0,16767.0,18053.0,18783.0,19380.0,20081.0,21170.0,21281.0,22298.0,22852.0,23282.0,24039.0,24853.0,26176.0,27471.0,28463.0
K,88,15660.0,16176.0,16152.0,17458.0,18187.0,18844.0,19522.0,20636.0,20825.0,21888.0,22479.0,22928.0,23722.0,24580.0,25906.0,27179.0
K,89,14716.0,15051.0,15590.0,15662.0,16926.0,17654.0,18351.0,19026.0,20195.0,20396.0,21526.0,22135.0,22628.0,23482.0,24288.0,25635.0
K,90,13602.0,13434.0,13817.0,14426.0,14595.0,15797.0,16630.0,17362.0,18131.0,19294.0,19587.0,20808.0,21506.0,22100.0,22945.0,23763.0
K,91,9226.0,9355.0,9330.0,9638.0,10144.0,10292.0,11161.0,11816.0,12372.0,12995.0,13862.0,14150.0,15105.0,15601.0,16033.0,16746.0
K,92,5396.0,6350.0,6435.0,6432.0,6776.0,7105.0,7293.0,7933.0,8343.0,8859.0,9345.0,9958.0,10294.0,11111.0,11447.0,11765.0
K,93,3356.0,3722.0,4369.0,4470.0,4496.0,4727.0,5042.0,5154.0,5635.0,6013.0,6362.0,6785.0,7290.0,7577.0,8071.0,8274.0
K,94,1855.0,2269.0,2604.0,3020.0,3159.0,3124.0,3294.0,3537.0,3657.0,4043.0,4421.0,4585.0,4955.0,5304.0,5551.0,5894.0
K,95,1006.0,1128.0,1427.0,1664.0,1948.0,2066.0,2084.0,2177.0,2417.0,2484.0,2768.0,3084.0,3236.0,3560.0,3771.0,3976.0
K,96,511.0,625.0,707.0,891.0,1055.0,1283.0,1386.0,1404.0,1480.0,1612.0,1728.0,1909.0,2184.0,2284.0,2566.0,2682.0
K,97,261.0,310.0,391.0,464.0,564.0,671.0,846.0,930.0,940.0,1016.0,1102.0,1172.0,1323.0,1550.0,1638.0,1838.0
K,98,165.0,172.0,191.0,251.0,310.0,363.0,441.0,565.0,641.0,650.0,681.0,795.0,841.0,956.0,1120.0,1172.0
K,99,81.0,104.0,123.0,125.0,164.0,197.0,238.0,278.0,371.0,439.0,453.0,494.0,562.0,600.0,671.0,789.0
K,100,21.0,37.0,62.0,67.0,84.0,100.0,116.0,156.0,159.0,236.0,289.0,304.0,346.0,393.0,416.0,466.0
K,101,9.0,7.0,13.0,19.0,15.0,19.0,34.0,28.0,43.0,50.0,91.0,100.0,100.0,116.0,137.0,129.0
K,102,3.0,1.0,,4.0,10.0,7.0,6.0,14.0,10.0,17.0,15.0,37.0,38.0,35.0,42.0,54.0
K,103,,1.0,,,2.0,2.0,3.0,,7.0,3.0,3.0,4.0,14.0,16.0,13.0,19.0
K,104,,,,,,1.0,,,,2.0,3.0,,1.0,4.0,4.0,4.0
K,105,,,,,,,,,,,1.0,2.0,,,2.0,1.0
K,106,,,,,,,,,,,,,,,,1.0
K,107,,,,,,,,,,,,,,,,
K,108,,,,,,,,,,,,,,,,
K,109,,,,,,,,,,,,,,,,
