sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,60,32730.0,33408.0,33806.0,34368.0,34265.0,34801.0,34575.0,35207.0,35511.0,36083.0,36813.0,37927.0,38281.0,38789.0,38049.0,37190.0,36510.0,35945.0,35524.0,35308.0,34003.0
K,61,33203.0,32658.0,33347.0,33740.0,34307.0,34207.0,34746.0,34534.0,35162.0,35475.0,36056.0,36793.0,37903.0,38256.0,38773.0,38031.0,37176.0,36493.0,35922.0,35513.0,35296.0
K,62,34164.0,33145.0,32600.0,33281.0,33691.0,34254.0,34152.0,34708.0,34505.0,35119.0,35434.0,36031.0,36760.0,37871.0,38235.0,38759.0,38016.0,37152.0,36468.0,35905.0,35496.0
K,63,35496.0,34101.0,33084.0,32552.0,33232.0,33639.0,34199.0,34107.0,34670.0,34475.0,35084.0,35405.0,36007.0,36742.0,37846.0,38205.0,38738.0,37989.0,37128.0,36453.0,35890.0
K,64,35030.0,35438.0,34038.0,33027.0,32496.0,33172.0,33599.0,34153.0,34061.0,34641.0,34448.0,35050.0,35385.0,35992.0,36723.0,37833.0,38183.0,38720.0,37970.0,37111.0,36436.0
K,65,36073.0,34908.0,35319.0,33917.0,32915.0,32404.0,33099.0,33525.0,34080.0,33988.0,34586.0,34395.0,35006.0,35348.0,35957.0,36689.0,37794.0,38152.0,38686.0,37930.0,37086.0
K,66,36064.0,35941.0,34761.0,35190.0,33806.0,32826.0,32330.0,33012.0,33453.0,34023.0,33932.0,34540.0,34350.0,34961.0,35306.0,35917.0,36657.0,37764.0,38125.0,38658.0,37891.0
K,67,35326.0,35940.0,35837.0,34651.0,35076.0,33714.0,32751.0,32259.0,32937.0,33383.0,33980.0,33867.0,34509.0,34315.0,34917.0,35274.0,35885.0,36621.0,37729.0,38100.0,38619.0
K,68,35796.0,35196.0,35791.0,35726.0,34553.0,34958.0,33635.0,32671.0,32183.0,32874.0,33325.0,33938.0,33817.0,34476.0,34272.0,34893.0,35229.0,35857.0,36586.0,37695.0,38064.0
K,69,35187.0,35654.0,35063.0,35680.0,35619.0,34464.0,34881.0,33553.0,32616.0,32118.0,32813.0,33272.0,33890.0,33769.0,34435.0,34245.0,34869.0,35194.0,35819.0,36554.0,37669.0
K,70,33951.0,34958.0,35458.0,34886.0,35495.0,35454.0,34319.0,34746.0,33410.0,32522.0,32038.0,32730.0,33206.0,33839.0,33710.0,34376.0,34186.0,34823.0,35140.0,35765.0,36500.0
K,71,33060.0,33718.0,34767.0,35261.0,34722.0,35363.0,35281.0,34173.0,34623.0,33322.0,32435.0,31961.0,32666.0,33148.0,33785.0,33657.0,34329.0,34141.0,34773.0,35088.0,35695.0
K,72,32340.0,32849.0,33513.0,34585.0,35098.0,34572.0,35189.0,35147.0,34036.0,34506.0,33217.0,32352.0,31895.0,32609.0,33096.0,33724.0,33607.0,34282.0,34102.0,34724.0,35043.0
K,73,31539.0,32129.0,32674.0,33317.0,34407.0,34918.0,34424.0,35059.0,35031.0,33926.0,34429.0,33133.0,32277.0,31832.0,32563.0,33052.0,33681.0,33556.0,34224.0,34059.0,34684.0
K,74,30159.0,31351.0,31953.0,32503.0,33137.0,34240.0,34772.0,34305.0,34934.0,34921.0,33815.0,34345.0,33056.0,32223.0,31774.0,32504.0,33006.0,33625.0,33495.0,34175.0,34021.0
K,75,28734.0,29807.0,31040.0,31658.0,32219.0,32891.0,33997.0,34517.0,34075.0,34716.0,34748.0,33670.0,34196.0,32956.0,32136.0,31688.0,32416.0,32924.0,33540.0,33406.0,34089.0
K,76,27897.0,28433.0,29514.0,30748.0,31398.0,31965.0,32631.0,33765.0,34314.0,33890.0,34553.0,34592.0,33536.0,34102.0,32864.0,32020.0,31600.0,32322.0,32844.0,33452.0,33307.0
K,77,27148.0,27603.0,28135.0,29231.0,30459.0,31142.0,31725.0,32425.0,33545.0,34119.0,33720.0,34402.0,34464.0,33453.0,34017.0,32759.0,31929.0,31536.0,32240.0,32769.0,33378.0
K,78,26710.0,26892.0,27326.0,27879.0,28978.0,30224.0,30919.0,31499.0,32251.0,33343.0,33954.0,33594.0,34283.0,34370.0,33349.0,33915.0,32672.0,31847.0,31460.0,32145.0,32684.0
K,79,26088.0,26414.0,26607.0,27058.0,27635.0,28745.0,29995.0,30714.0,31318.0,32069.0,33198.0,33789.0,33486.0,34189.0,34271.0,33247.0,33823.0,32595.0,31752.0,31385.0,32055.0
K,80,24774.0,25604.0,25921.0,26195.0,26627.0,27231.0,28381.0,29598.0,30399.0,30999.0,31791.0,32926.0,33592.0,33283.0,34020.0,34088.0,33100.0,33661.0,32459.0,31616.0,31232.0
K,81,24368.0,24264.0,25124.0,25490.0,25796.0,26238.0,26878.0,28057.0,29242.0,30082.0,30736.0,31551.0,32705.0,33385.0,33088.0,33852.0,33925.0,32955.0,33511.0,32309.0,31484.0
K,82,22970.0,23900.0,23811.0,24666.0,25130.0,25439.0,25881.0,26522.0,27734.0,28939.0,29851.0,30514.0,31335.0,32543.0,33212.0,32934.0,33663.0,33755.0,32813.0,33366.0,32165.0
K,83,21892.0,22520.0,23442.0,23400.0,24254.0,24750.0,25127.0,25587.0,26207.0,27431.0,28665.0,29610.0,30288.0,31168.0,32367.0,33043.0,32760.0,33499.0,33587.0,32629.0,33229.0
K,84,20909.0,21475.0,22080.0,23055.0,23080.0,23916.0,24404.0,24853.0,25320.0,25925.0,27178.0,28442.0,29424.0,30108.0,31008.0,32190.0,32850.0,32579.0,33360.0,33434.0,32484.0
