sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,31,38587.0,37676.0,36978.0,36359.0,35883.0,35691.0,34300.0,33277.0,32979.0,32792.0,31481.0,31008.0,31306.0,31473.0,31378.0,31971.0,31782.0,32464.0,32913.0,32496.0,31420.0,31266.0,30510.0,30132.0,29859.0,29618.0,28468.0,27610.0,27395.0,26723.0,27958.0,25211.0,37577.0,36942.0,36640.0,36360.0
K,32,39395.0,38576.0,37661.0,36960.0,36345.0,35870.0,35678.0,34285.0,33265.0,32965.0,32781.0,31474.0,30999.0,31301.0,31469.0,31371.0,31963.0,31776.0,32458.0,32907.0,32491.0,31415.0,31263.0,30507.0,30128.0,29856.0,29617.0,28466.0,27608.0,27393.0,26722.0,27957.0,25209.0,37577.0,36941.0,36638.0
K,33,38889.0,39386.0,38558.0,37647.0,36947.0,36324.0,35856.0,35671.0,34276.0,33250.0,32953.0,32772.0,31468.0,30993.0,31291.0,31460.0,31365.0,31956.0,31767.0,32455.0,32905.0,32485.0,31415.0,31257.0,30504.0,30122.0,29854.0,29613.0,28463.0,27606.0,27393.0,26721.0,27955.0,25206.0,37577.0,36938.0
K,34,38601.0,38871.0,39374.0,38545.0,37635.0,36931.0,36311.0,35848.0,35663.0,34265.0,33240.0,32945.0,32762.0,31462.0,30984.0,31287.0,31454.0,31363.0,31954.0,31760.0,32448.0,32902.0,32479.0,31411.0,31253.0,30502.0,30120.0,29853.0,29613.0,28461.0,27606.0,27389.0,26719.0,27954.0,25204.0,37573.0
K,35,37403.0,38587.0,38857.0,39363.0,38521.0,37612.0,36912.0,36293.0,35828.0,35645.0,34249.0,33231.0,32936.0,32752.0,31449.0,30980.0,31270.0,31443.0,31358.0,31945.0,31752.0,32438.0,32896.0,32471.0,31407.0,31251.0,30494.0,30116.0,29851.0,29612.0,28457.0,27606.0,27387.0,26716.0,27954.0,25203.0
K,36,36743.0,37391.0,38574.0,38835.0,39347.0,38502.0,37598.0,36885.0,36282.0,35816.0,35625.0,34242.0,33220.0,32920.0,32736.0,31441.0,30972.0,31263.0,31432.0,31351.0,31943.0,31744.0,32431.0,32891.0,32463.0,31399.0,31247.0,30490.0,30112.0,29849.0,29612.0,28454.0,27604.0,27386.0,26713.0,27952.0
K,37,36160.0,36728.0,37372.0,38555.0,38817.0,39327.0,38490.0,37579.0,36867.0,36267.0,35805.0,35614.0,34229.0,33211.0,32913.0,32728.0,31431.0,30966.0,31255.0,31425.0,31346.0,31938.0,31740.0,32427.0,32889.0,32460.0,31396.0,31243.0,30486.0,30109.0,29845.0,29610.0,28452.0,27602.0,27386.0,26712.0
K,38,35848.0,36141.0,36712.0,37356.0,38533.0,38797.0,39306.0,38459.0,37566.0,36849.0,36251.0,35793.0,35599.0,34217.0,33192.0,32904.0,32723.0,31422.0,30957.0,31246.0,31414.0,31342.0,31933.0,31738.0,32424.0,32883.0,32456.0,31393.0,31241.0,30483.0,30109.0,29843.0,29608.0,28447.0,27601.0,27384.0
K,39,35243.0,35836.0,36129.0,36690.0,37341.0,38523.0,38782.0,39286.0,38440.0,37547.0,36834.0,36238.0,35778.0,35591.0,34199.0,33187.0,32895.0,32714.0,31415.0,30947.0,31234.0,31404.0,31334.0,31930.0,31735.0,32418.0,32879.0,32452.0,31391.0,31240.0,30482.0,30109.0,29841.0,29607.0,28446.0,27601.0
K,40,35525.0,35223.0,35813.0,36105.0,36655.0,37318.0,38506.0,38755.0,39262.0,38411.0,37528.0,36814.0,36216.0,35763.0,35577.0,34186.0,33178.0,32881.0,32702.0,31407.0,30938.0,31224.0,31400.0,31322.0,31924.0,31729.0,32411.0,32872.0,32449.0,31386.0,31238.0,30479.0,30107.0,29840.0,29605.0,28445.0
K,41,34990.0,35505.0,35202.0,35798.0,36079.0,36634.0,37290.0,38474.0,38731.0,39243.0,38392.0,37507.0,36789.0,36196.0,35750.0,35568.0,34170.0,33159.0,32869.0,32697.0,31403.0,30931.0,31209.0,31393.0,31318.0,31919.0,31724.0,32404.0,32868.0,32447.0,31382.0,31235.0,30476.0,30105.0,29838.0,29603.0
K,42,35089.0,34968.0,35481.0,35182.0,35776.0,36053.0,36611.0,37271.0,38440.0,38699.0,39223.0,38372.0,37481.0,36771.0,36183.0,35737.0,35548.0,34160.0,33147.0,32859.0,32687.0,31398.0,30921.0,31200.0,31387.0,31312.0,31917.0,31718.0,32397.0,32866.0,32442.0,31379.0,31234.0,30472.0,30102.0,29836.0
K,43,34563.0,35068.0,34945.0,35458.0,35155.0,35733.0,36026.0,36584.0,37245.0,38422.0,38677.0,39196.0,38350.0,37459.0,36755.0,36172.0,35718.0,35538.0,34152.0,33138.0,32850.0,32680.0,31393.0,30919.0,31195.0,31383.0,31307.0,31911.0,31712.0,32389.0,32860.0,32437.0,31378.0,31230.0,30470.0,30101.0
K,44,34236.0,34545.0,35042.0,34921.0,35437.0,35137.0,35717.0,36006.0,36557.0,37222.0,38401.0,38651.0,39179.0,38324.0,37442.0,36738.0,36162.0,35710.0,35527.0,34146.0,33121.0,32843.0,32677.0,31387.0,30917.0,31189.0,31373.0,31305.0,31907.0,31706.0,32388.0,32854.0,32435.0,31377.0,31228.0,30468.0
K,45,33520.0,34212.0,34512.0,35008.0,34892.0,35396.0,35102.0,35667.0,35976.0,36527.0,37193.0,38379.0,38625.0,39162.0,38298.0,37417.0,36710.0,36137.0,35696.0,35514.0,34130.0,33104.0,32827.0,32665.0,31374.0,30907.0,31179.0,31364.0,31299.0,31904.0,31698.0,32384.0,32849.0,32434.0,31375.0,31226.0
K,46,34033.0,33492.0,34182.0,34475.0,34965.0,34864.0,35371.0,35073.0,35637.0,35945.0,36496.0,37175.0,38353.0,38596.0,39142.0,38273.0,37398.0,36690.0,36119.0,35680.0,35498.0,34114.0,33092.0,32809.0,32654.0,31358.0,30900.0,31173.0,31359.0,31295.0,31900.0,31696.0,32380.0,32845.0,32431.0,31372.0
K,47,35177.0,34000.0,33458.0,34147.0,34439.0,34927.0,34829.0,35338.0,35045.0,35610.0,35921.0,36467.0,37143.0,38332.0,38572.0,39124.0,38248.0,37383.0,36671.0,36102.0,35665.0,35487.0,34098.0,33081.0,32800.0,32642.0,31351.0,30891.0,31162.0,31354.0,31290.0,31895.0,31693.0,32376.0,32840.0,32427.0
K,48,36600.0,35145.0,33967.0,33423.0,34106.0,34406.0,34887.0,34799.0,35300.0,35007.0,35581.0,35897.0,36434.0,37116.0,38302.0,38547.0,39100.0,38222.0,37363.0,36651.0,36088.0,35649.0,35474.0,34088.0,33075.0,32791.0,32631.0,31339.0,30884.0,31159.0,31346.0,31286.0,31888.0,31690.0,32371.0,32836.0
K,49,36215.0,36569.0,35106.0,33930.0,33393.0,34064.0,34378.0,34862.0,34761.0,35269.0,34966.0,35557.0,35874.0,36407.0,37091.0,38281.0,38527.0,39086.0,38206.0,37343.0,36633.0,36070.0,35628.0,35463.0,34076.0,33069.0,32783.0,32625.0,31327.0,30878.0,31154.0,31342.0,31281.0,31885.0,31687.0,32365.0
K,50,37446.0,36153.0,36503.0,35030.0,33857.0,33331.0,34017.0,34320.0,34812.0,34714.0,35216.0,34922.0,35514.0,35834.0,36360.0,37054.0,38255.0,38494.0,39054.0,38186.0,37316.0,36611.0,36046.0,35604.0,35440.0,34060.0,33054.0,32771.0,32615.0,31319.0,30871.0,31144.0,31339.0,31273.0,31881.0,31680.0
K,51,37536.0,37399.0,36104.0,36440.0,34987.0,33799.0,33287.0,33957.0,34254.0,34755.0,34675.0,35180.0,34872.0,35459.0,35795.0,36330.0,37015.0,38218.0,38470.0,39029.0,38161.0,37292.0,36591.0,36015.0,35583.0,35418.0,34049.0,33045.0,32758.0,32609.0,31309.0,30862.0,31138.0,31325.0,31264.0,31873.0
