sex,alder,pop_2023,pop_2024,pop_2025,pop_2026
K,76,26208.0,24868.0,23602.0,23385.0
K,77,23006.0,25241.0,23911.0,22712.0
K,78,21550.0,22201.0,24297.0,22983.0
K,79,18625.0,20833.0,21430.0,23362.0
K,80,16927.0,17203.0,19288.0,19730.0
K,81,14386.0,15597.0,15911.0,17802.0
K,82,14292.0,13284.0,14345.0,14694.0
K,83,13203.0,13145.0,12236.0,13212.0
K,84,12100.0,12222.0,12219.0,11319.0
K,85,10731.0,10231.0,10371.0,10344.0
K,86,9731.0,9079.0,8650.0,8787.0
K,87,8566.0,8229.0,7668.0,7362.0
K,88,7676.0,7294.0,7015.0,6501.0
K,89,6899.0,6534.0,6214.0,5991.0
K,90,6430.0,6919.0,6557.0,6229.0
K,91,5648.0,4856.0,5232.0,4918.0
K,92,4751.0,4315.0,3669.0,3953.0
K,93,3747.0,3566.0,3227.0,2753.0
K,94,3013.0,2849.0,2723.0,2447.0
K,95,2297.0,2301.0,2144.0,2051.0
K,96,1797.0,1752.0,1763.0,1617.0
K,97,1313.0,1376.0,1334.0,1317.0
K,98,991.0,974.0,1028.0,1007.0
K,99,597.0,756.0,754.0,753.0
K,100,423.0,417.0,562.0,566.0
K,101,256.0,151.0,152.0,207.0
K,102,164.0,92.0,59.0,57.0
K,103,82.0,72.0,41.0,33.0
K,104,39.0,34.0,29.0,14.0
K,105,76.0,21.0,14.0,10.0
K,106,,29.0,6.0,6.0
K,107,,,10.0,4.0
K,108,,,,3.0
K,109,,,,
M,0,26681.0,26991.0,27170.0,26807.0
M,1,29378.0,26871.0,27198.0,27278.0
M,2,27958.0,29557.0,27071.0,27298.0
M,3,28989.0,28151.0,29771.0,27164.0
M,4,29454.0,29180.0,28355.0,29862.0
M,5,30339.0,29651.0,29400.0,28437.0
M,6,31761.0,30577.0,29878.0,29501.0
M,7,31747.0,31958.0,30783.0,29999.0
M,8,31877.0,31963.0,32161.0,30876.0
M,9,31832.0,32099.0,32180.0,32259.0
M,10,33040.0,32061.0,32337.0,32281.0
M,11,33476.0,33271.0,32301.0,32444.0
M,12,34255.0,33715.0,33522.0,32416.0
M,13,34985.0,34455.0,33950.0,33640.0
M,14,34749.0,35239.0,34709.0,34080.0
M,15,33731.0,34985.0,35479.0,34800.0
M,16,33891.0,33980.0,35222.0,35572.0
M,17,32980.0,34146.0,34213.0,35322.0
M,18,33334.0,33220.0,34384.0,34309.0
M,19,32888.0,33569.0,33456.0,34477.0
M,20,32354.0,33144.0,33819.0,33556.0
M,21,33404.0,32594.0,33352.0,33928.0
M,22,35241.0,33647.0,32853.0,33479.0
M,23,35569.0,35445.0,33891.0,32981.0
M,24,35369.0,35818.0,35668.0,34005.0
M,25,36562.0,35621.0,36088.0,35785.0
M,26,37633.0,36809.0,35877.0,36194.0
M,27,37911.0,37878.0,37062.0,35992.0
M,28,38057.0,38188.0,38171.0,37201.0
M,29,38611.0,38323.0,38478.0,38289.0
M,30,39820.0,38889.0,38601.0,38588.0
M,31,40282.0,40107.0,39169.0,38748.0
M,32,40727.0,40564.0,40383.0,39277.0
M,33,40275.0,40996.0,40838.0,40485.0
M,34,40075.0,40560.0,41260.0,40969.0
M,35,38393.0,40367.0,40837.0,41391.0
M,36,38662.0,38672.0,40634.0,40953.0
M,37,37985.0,38938.0,38960.0,40759.0
M,38,37174.0,38240.0,39218.0,39083.0
M,39,37362.0,37447.0,38525.0,39358.0
M,40,37429.0,37625.0,37696.0,38648.0
M,41,36190.0,37694.0,37888.0,37810.0
M,42,36976.0,36460.0,37971.0,37993.0
M,43,36250.0,37251.0,36720.0,38083.0
M,44,36012.0,36521.0,37526.0,36834.0
M,45,34884.0,36272.0,36764.0,37660.0
M,46,35776.0,35156.0,36548.0,36871.0
M,47,36463.0,36053.0,35398.0,36654.0
M,48,37822.0,36714.0,36338.0,35532.0
M,49,38079.0,38085.0,36965.0,36450.0
M,50,39204.0,38385.0,38370.0,37072.0
M,51,38960.0,39452.0,38656.0,38499.0
M,52,38530.0,39228.0,39735.0,38752.0
M,53,39127.0,38800.0,39507.0,39858.0
M,54,38711.0,39398.0,39077.0,39613.0
M,55,37445.0,39000.0,39654.0,39195.0
M,56,37508.0,37737.0,39280.0,39750.0
M,57,36634.0,37759.0,37988.0,39391.0
M,58,35796.0,36895.0,38024.0,38108.0
M,59,33856.0,36069.0,37138.0,38141.0
M,60,33238.0,34086.0,36284.0,37251.0
M,61,32420.0,33468.0,34291.0,36390.0
M,62,31875.0,32621.0,33681.0,34385.0
M,63,31627.0,32119.0,32838.0,33776.0
M,64,30857.0,31866.0,32359.0,32924.0
M,65,29861.0,30727.0,31770.0,32140.0
M,66,29798.0,29739.0,30610.0,31511.0
M,67,28764.0,29652.0,29622.0,30372.0
M,68,27721.0,28655.0,29546.0,29382.0
M,69,26980.0,27680.0,28572.0,29332.0
M,70,26474.0,26576.0,27326.0,28069.0
M,71,25160.0,26054.0,26209.0,26822.0
M,72,25075.0,24822.0,25692.0,25733.0
M,73,24671.0,24717.0,24490.0,25254.0
M,74,24612.0,24375.0,24373.0,24068.0
M,75,24288.0,23755.0,23509.0,23441.0
M,76,24418.0,23483.0,22874.0,22612.0
M,77,20835.0,23541.0,22708.0,21933.0
M,78,19491.0,20174.0,22698.0,21789.0
M,79,16617.0,18837.0,19460.0,21792.0
M,80,14484.0,15403.0,17401.0,17911.0
M,81,11843.0,13433.0,14274.0,16007.0
M,82,11475.0,10948.0,12414.0,13174.0
M,83,10253.0,10668.0,10124.0,11417.0
M,84,9065.0,9478.0,9894.0,9351.0
M,85,7812.0,7660.0,8012.0,8349.0
M,86,6657.0,6605.0,6520.0,6740.0
M,87,5523.0,5652.0,5587.0,5461.0
M,88,4721.0,4685.0,4766.0,4720.0
M,89,4033.0,4044.0,4034.0,4007.0
M,90,3616.0,4057.0,4070.0,4048.0
M,91,2747.0,2692.0,3019.0,3018.0
M,92,2294.0,2094.0,2049.0,2277.0
M,93,1703.0,1732.0,1590.0,1548.0
M,94,1256.0,1285.0,1311.0,1224.0
M,95,887.0,933.0,962.0,991.0
M,96,692.0,663.0,723.0,735.0
M,97,469.0,525.0,508.0,552.0
M,98,286.0,367.0,413.0,397.0
M,99,174.0,227.0,280.0,309.0
M,100,95.0,125.0,173.0,215.0
M,101,54.0,32.0,44.0,59.0
M,102,32.0,23.0,14.0,19.0
M,103,21.0,14.0,6.0,5.0
M,104,5.0,9.0,4.0,2.0
M,105,28.0,,3.0,1.0
M,106,,10.0,,1.0
M,107,,,6.0,
M,108,,,,5.0
M,109,,,,
