sex,alder,pop_2023,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
M,74,37594.0,38148.0,37739.0,37282.0,36947.0,36176.0,36454.0,36308.0,36479.0,35070.0,34422.0,33948.0,32935.0,34354.0,31831.0,31879.0,31534.0,31294.0,30892.0,30617.0,30490.0,30178.0,29770.0,29505.0,29179.0,29050.0,28734.0,28728.0,28447.0,28165.0,28215.0,28124.0,27875.0,27967.0,27614.0,27294.0,26952.0,26658.0,26365.0,26070.0,25843.0,25219.0,25126.0,24726.0,24316.0,24069.0,23967.0,23612.0,23531.0,23230.0,22988.0,22695.0,22374,22200,22312.0,21971.0,21798.0,21540.0
M,75,35736.0,37418.0,37946.0,37565.0,37110.0,36785.0,36006.0,36327.0,36158.0,36335.0,34939.0,34293.0,33822.0,32814.0,34203.0,31725.0,31778.0,31423.0,31168.0,30773.0,30496.0,30368.0,30056.0,29651.0,29390.0,29089.0,28951.0,28619.0,28612.0,28326.0,28061.0,28102.0,28010.0,27760.0,27855.0,27503.0,27186.0,26819.0,26540.0,26276.0,25964.0,25734.0,25099.0,25021.0,24622.0,24220.0,23948.0,23879.0,23507.0,23413.0,23118.0,22875.0,22587,22267,22092.0,22205.0,21874.0,21687.0
M,76,35295.0,35583.0,37248.0,37794.0,37419.0,36944.0,36638.0,35855.0,36188.0,36025.0,36168.0,34806.0,34157.0,33704.0,32693.0,34071.0,31613.0,31660.0,31308.0,31040.0,30651.0,30398.0,30258.0,29946.0,29508.0,29276.0,28969.0,28823.0,28481.0,28501.0,28205.0,27942.0,27985.0,27896.0,27642.0,27745.0,27377.0,27062.0,26702.0,26418.0,26173.0,25844.0,25622.0,24988.0,24929.0,24507.0,24113.0,23827.0,23773.0,23401.0,23309.0,23013.0,22760,22490,22154.0,21986.0,22085.0,21782.0
M,77,33847.0,35128.0,35420.0,37056.0,37655.0,37264.0,36802.0,36475.0,35737.0,36046.0,35895.0,36029.0,34660.0,34026.0,33589.0,32565.0,33937.0,31463.0,31539.0,31183.0,30902.0,30538.0,30294.0,30125.0,29834.0,29378.0,29148.0,28851.0,28716.0,28379.0,28398.0,28099.0,27838.0,27885.0,27801.0,27508.0,27631.0,27277.0,26957.0,26576.0,26316.0,26055.0,25715.0,25509.0,24866.0,24838.0,24399.0,24004.0,23733.0,23668.0,23301.0,23199.0,22912,22652,22398.0,22054.0,21876.0,21979.0
M,78,33617.0,33670.0,34943.0,35264.0,36916.0,37507.0,37123.0,36676.0,36339.0,35582.0,35919.0,35760.0,35891.0,34555.0,33904.0,33470.0,32458.0,33808.0,31345.0,31423.0,31072.0,30775.0,30402.0,30164.0,30008.0,29715.0,29271.0,29008.0,28733.0,28578.0,28280.0,28275.0,27977.0,27709.0,27765.0,27676.0,27400.0,27520.0,27154.0,26846.0,26467.0,26183.0,25932.0,25606.0,25397.0,24764.0,24723.0,24291.0,23873.0,23630.0,23560.0,23215.0,23083,22797,22528.0,22294.0,21932.0,21755.0
M,79,32472.0,33453.0,33517.0,34788.0,35100.0,36777.0,37335.0,36986.0,36519.0,36206.0,35423.0,35771.0,35617.0,35756.0,34423.0,33774.0,33324.0,32338.0,33693.0,31218.0,31312.0,30963.0,30651.0,30278.0,30059.0,29893.0,29591.0,29169.0,28880.0,28621.0,28482.0,28160.0,28155.0,27855.0,27602.0,27660.0,27548.0,27291.0,27394.0,27033.0,26721.0,26343.0,26079.0,25827.0,25502.0,25304.0,24635.0,24597.0,24188.0,23782.0,23506.0,23448.0,23114,22980,22702.0,22439.0,22186.0,21835.0
M,80,30836.0,32178.0,33146.0,33221.0,34494.0,34791.0,36449.0,37050.0,36656.0,36213.0,35924.0,35159.0,35465.0,35355.0,35494.0,34128.0,33518.0,33064.0,32070.0,33396.0,30964.0,31079.0,30733.0,30389.0,30049.0,29840.0,29667.0,29333.0,28950.0,28655.0,28384.0,28248.0,27923.0,27900.0,27626.0,27371.0,27415.0,27324.0,27081.0,27139.0,26791.0,26459.0,26127.0,25848.0,25610.0,25302.0,25082.0,24412.0,24370.0,23983.0,23584.0,23296.0,23227,22883,22755.0,22481.0,22248.0,21977.0
M,81,30670.0,30562.0,31877.0,32880.0,32932.0,34210.0,34533.0,36161.0,36734.0,36359.0,35909.0,35642.0,34881.0,35213.0,35078.0,35217.0,33869.0,33270.0,32785.0,31829.0,33130.0,30744.0,30836.0,30510.0,30142.0,29789.0,29619.0,29412.0,29110.0,28727.0,28439.0,28136.0,28019.0,27676.0,27666.0,27419.0,27153.0,27188.0,27112.0,26862.0,26911.0,26569.0,26223.0,25889.0,25581.0,25366.0,25077.0,24858.0,24196.0,24137.0,23797.0,23372.0,23075,22992,22660.0,22529.0,22263.0,22043.0
M,82,31007.0,30403.0,30272.0,31604.0,32583.0,32656.0,33924.0,34265.0,35870.0,36433.0,36071.0,35624.0,35370.0,34605.0,34958.0,34812.0,34930.0,33612.0,33006.0,32544.0,31590.0,32862.0,30530.0,30601.0,30279.0,29874.0,29568.0,29396.0,29177.0,28881.0,28506.0,28213.0,27929.0,27818.0,27459.0,27439.0,27179.0,26920.0,26972.0,26884.0,26631.0,26687.0,26330.0,26014.0,25671.0,25336.0,25130.0,24859.0,24632.0,23977.0,23920.0,23595.0,23143,22876,22794.0,22443.0,22305.0,22041.0
M,83,29845.0,30733.0,30114.0,30007.0,31335.0,32317.0,32395.0,33613.0,33988.0,35576.0,36161.0,35782.0,35351.0,35117.0,34325.0,34681.0,34525.0,34659.0,33340.0,32754.0,32286.0,31337.0,32631.0,30278.0,30307.0,30043.0,29645.0,29334.0,29156.0,28923.0,28650.0,28266.0,27957.0,27701.0,27595.0,27216.0,27218.0,26967.0,26685.0,26715.0,26684.0,26406.0,26470.0,26120.0,25795.0,25440.0,25082.0,24905.0,24635.0,24390.0,23747.0,23700.0,23378,22916,22646.0,22591.0,22205.0,22069.0
