sex,alder,pop_2023,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,79,26407.0,26102.0,25881.0,25814.0,25929.0,25600.0,25580.0,25450.0,24841.0,25016.0,24837.0
K,80,25497.0,25480.0,25186.0,24940.0,24931.0,24953.0,24685.0,24647.0,24602.0,23950.0,24142.0
K,81,24796.0,24583.0,24546.0,24248.0,24087.0,24087.0,24060.0,23818.0,23787.0,23714.0,23108.0
K,82,23958.0,23852.0,23691.0,23719.0,23345.0,23192.0,23243.0,23224.0,22959.0,22961.0,22922.0
K,83,23190.0,23122.0,22954.0,22786.0,22815.0,22474.0,22354.0,22425.0,22398.0,22116.0,22100.0
K,84,22515.0,22338.0,22280.0,22116.0,22016.0,22015.0,21614.0,21554.0,21583.0,21579.0,21345.0
K,85,21240.0,20908.0,20716.0,20732.0,20505.0,20447.0,20464.0,20073.0,19998.0,20087.0,20025.0
K,86,20012.0,19743.0,19454.0,19268.0,19200.0,19031.0,18945.0,19023.0,18608.0,18612.0,18700.0
K,87,18465.0,18603.0,18325.0,18108.0,17889.0,17812.0,17696.0,17575.0,17613.0,17331.0,17292.0
K,88,17507.0,17144.0,17273.0,17039.0,16809.0,16583.0,16551.0,16395.0,16340.0,16311.0,16180.0
K,89,16447.0,16244.0,15898.0,15985.0,15845.0,15641.0,15405.0,15418.0,15232.0,15184.0,15116.0
K,90,15857.0,16450.0,16247.0,15900.0,15988.0,15849.0,15647.0,15407.0,15423.0,15234.0,15189.0
K,91,12747.0,11934.0,12349.0,12251.0,11903.0,12100.0,11875.0,11693.0,11580.0,11654.0,11411.0
K,92,9201.0,9518.0,8940.0,9249.0,9171.0,8956.0,9060.0,8982.0,8847.0,8683.0,8740.0
K,93,7037.0,6948.0,7126.0,6747.0,6986.0,6885.0,6721.0,6758.0,6709.0,6638.0,6498.0
K,94,5275.0,5261.0,5129.0,5389.0,5083.0,5180.0,5130.0,5007.0,4998.0,5015.0,4956.0
K,95,4019.0,3962.0,3944.0,3831.0,4032.0,3830.0,3928.0,3897.0,3767.0,3782.0,3766.0
