sex,alder,pop_2023,pop_2024,pop_2025,pop_2026
M,88,4721.0,4666.0,4852.0,4726.0
M,89,4033.0,4018.0,3971.0,4139.0
M,90,3616.0,4063.0,4042.0,3980.0
M,91,2747.0,2696.0,3014.0,3001.0
M,92,2294.0,2094.0,2058.0,2268.0
M,93,1703.0,1735.0,1588.0,1569.0
M,94,1256.0,1281.0,1335.0,1213.0
M,95,887.0,929.0,957.0,1006.0
M,96,692.0,664.0,711.0,736.0
M,97,469.0,523.0,511.0,557.0
M,98,286.0,361.0,402.0,389.0
M,99,174.0,229.0,270.0,286.0
M,100,95.0,126.0,166.0,203.0
M,101,54.0,33.0,36.0,52.0
M,102,32.0,21.0,15.0,7.0
M,103,21.0,14.0,10.0,6.0
M,104,5.0,10.0,7.0,5.0
M,105,28.0,,5.0,2.0
M,106,,10.0,,1.0
M,107,,,4.0,
M,108,,,,2.0
M,109,,,,
