sex,alder,pop_2023,pop_4087,pop_4088,pop_4089,pop_4090,pop_4091,pop_4092,pop_4093,pop_4094,pop_4095,pop_4096,pop_4097,pop_4098,pop_4099,pop_4100,pop_4101,pop_4102,pop_4103,pop_4104,pop_4105,pop_4106,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
K,51,35796.0,35674.0,34870.0,34444.0,34150.0,33843.0,32610.0,31804.0,31663.0,30863.0,32071.0,29456.0,31043.0,30660.0,30065.0,30174.0,29695.0,29227.0,28947.0,28724.0,28428.0,28274.0,28047.0,27802.0,27630.0,27516.0,27580.0,27086.0,26928.0,26871.0,26310.0,26244.0,25997.0,25784.0,25608,25407.0,24730.0,24626.0,24251.0,23930.0,23645.0,23457.0,23303.0,22868.0,22763.0,22281.0,22314.0,21874.0,21799.0,21653.0,21449.0,21071.0,29294.0,29161.0,29037.0,28808.0,28486.0,28241.0,28041.0,27818.0,27273.0,27111.0,26775.0,26465.0,26327.0,26035.0,25911.0,25364.0,25257.0,25061.0,24705.0,24364,24293.0,23831.0,23825.0,23665.0,23838,23861.0
K,52,36901.0,35794.0,35674.0,34870.0,34444.0,34150.0,33843.0,32610.0,31804.0,31663.0,30863.0,32070.0,29456.0,31043.0,30660.0,30065.0,30174.0,29694.0,29226.0,28947.0,28724.0,28428.0,28273.0,28047.0,27801.0,27629.0,27515.0,27579.0,27086.0,26927.0,26871.0,26309.0,26244.0,25997.0,25784,25608.0,25407.0,24730.0,24626.0,24250.0,23929.0,23645.0,23457.0,23303.0,22867.0,22762.0,22281.0,22314.0,21874.0,21799.0,21653.0,21449.0,21071.0,29294.0,29161.0,29036.0,28807.0,28485.0,28239.0,28041.0,27818.0,27271.0,27111.0,26774.0,26465.0,26327.0,26035.0,25909.0,25363.0,25257.0,25061.0,24705,24364.0,24293.0,23831.0,23825.0,23664,23838.0
K,53,37296.0,36900.0,35794.0,35674.0,34870.0,34443.0,34149.0,33843.0,32610.0,31804.0,31662.0,30863.0,32070.0,29456.0,31043.0,30660.0,30065.0,30174.0,29694.0,29226.0,28947.0,28724.0,28427.0,28273.0,28047.0,27800.0,27629.0,27515.0,27579.0,27086.0,26927.0,26871.0,26309.0,26244.0,25995,25784.0,25607.0,25406.0,24730.0,24625.0,24250.0,23929.0,23645.0,23457.0,23303.0,22866.0,22762.0,22281.0,22314.0,21873.0,21797.0,21652.0,21449.0,21071.0,29292.0,29161.0,29035.0,28806.0,28485.0,28239.0,28039.0,27818.0,27271.0,27111.0,26774.0,26464.0,26325.0,26035.0,25909.0,25363.0,25257.0,25061,24705.0,24364.0,24293.0,23830.0,23825,23663.0
K,54,36980.0,37294.0,36898.0,35794.0,35673.0,34869.0,34443.0,34149.0,33839.0,32610.0,31804.0,31662.0,30863.0,32069.0,29456.0,31043.0,30660.0,30065.0,30173.0,29694.0,29225.0,28947.0,28724.0,28427.0,28273.0,28046.0,27800.0,27629.0,27515.0,27578.0,27086.0,26927.0,26871.0,26307.0,26243,25995.0,25784.0,25607.0,25405.0,24730.0,24625.0,24250.0,23929.0,23644.0,23457.0,23303.0,22866.0,22762.0,22281.0,22314.0,21873.0,21797.0,21651.0,21448.0,21070.0,29292.0,29161.0,29035.0,28806.0,28485.0,28239.0,28039.0,27818.0,27270.0,27110.0,26774.0,26462.0,26325.0,26033.0,25909.0,25362.0,25256,25061.0,24705.0,24364.0,24293.0,23830,23825.0
K,55,36151.0,36979.0,37293.0,36898.0,35794.0,35672.0,34869.0,34443.0,34148.0,33839.0,32610.0,31802.0,31662.0,30863.0,32069.0,29456.0,31043.0,30659.0,30065.0,30173.0,29693.0,29224.0,28947.0,28724.0,28427.0,28273.0,28046.0,27799.0,27629.0,27515.0,27578.0,27085.0,26927.0,26871.0,26307,26243.0,25994.0,25784.0,25606.0,25404.0,24730.0,24625.0,24250.0,23928.0,23644.0,23456.0,23303.0,22866.0,22762.0,22281.0,22314.0,21873.0,21797.0,21651.0,21448.0,21070.0,29291.0,29161.0,29034.0,28806.0,28485.0,28238.0,28039.0,27818.0,27269.0,27110.0,26773.0,26462.0,26325.0,26032.0,25909.0,25361,25254.0,25061.0,24705.0,24363.0,24293,23830.0
K,56,36435.0,36149.0,36979.0,37292.0,36898.0,35794.0,35669.0,34869.0,34441.0,34146.0,33838.0,32610.0,31802.0,31661.0,30862.0,32068.0,29455.0,31042.0,30659.0,30065.0,30172.0,29693.0,29223.0,28947.0,28724.0,28427.0,28273.0,28045.0,27799.0,27629.0,27513.0,27578.0,27085.0,26927.0,26871,26307.0,26243.0,25994.0,25784.0,25605.0,25404.0,24730.0,24624.0,24249.0,23927.0,23643.0,23455.0,23303.0,22866.0,22762.0,22281.0,22313.0,21873.0,21797.0,21650.0,21448.0,21070.0,29291.0,29161.0,29033.0,28806.0,28485.0,28237.0,28038.0,27817.0,27269.0,27110.0,26773.0,26462.0,26325.0,26031.0,25909,25361.0,25254.0,25060.0,24704.0,24362,24293.0
K,57,35897.0,36435.0,36147.0,36979.0,37292.0,36898.0,35794.0,35668.0,34869.0,34441.0,34144.0,33838.0,32609.0,31802.0,31661.0,30861.0,32068.0,29455.0,31042.0,30659.0,30065.0,30172.0,29693.0,29223.0,28946.0,28724.0,28426.0,28273.0,28044.0,27799.0,27629.0,27513.0,27577.0,27085.0,26927,26870.0,26307.0,26243.0,25994.0,25783.0,25605.0,25404.0,24730.0,24624.0,24249.0,23927.0,23642.0,23455.0,23303.0,22866.0,22762.0,22280.0,22313.0,21873.0,21797.0,21650.0,21447.0,21070.0,29290.0,29161.0,29031.0,28806.0,28485.0,28237.0,28038.0,27816.0,27269.0,27110.0,26772.0,26460.0,26325.0,26030,25909.0,25361.0,25253.0,25060.0,24704,24361.0
K,58,35887.0,35896.0,36435.0,36145.0,36979.0,37289.0,36898.0,35794.0,35667.0,34869.0,34440.0,34144.0,33838.0,32609.0,31802.0,31661.0,30861.0,32067.0,29455.0,31042.0,30659.0,30065.0,30172.0,29692.0,29223.0,28946.0,28724.0,28426.0,28273.0,28044.0,27799.0,27629.0,27513.0,27577.0,27085,26927.0,26870.0,26307.0,26243.0,25994.0,25782.0,25605.0,25404.0,24730.0,24624.0,24249.0,23927.0,23642.0,23454.0,23303.0,22866.0,22762.0,22280.0,22312.0,21872.0,21797.0,21650.0,21447.0,21070.0,29290.0,29161.0,29030.0,28806.0,28485.0,28237.0,28037.0,27815.0,27268.0,27110.0,26771.0,26459.0,26324,26029.0,25909.0,25361.0,25253.0,25059,24703.0
K,59,35740.0,35887.0,35896.0,36434.0,36143.0,36979.0,37289.0,36897.0,35794.0,35667.0,34868.0,34439.0,34144.0,33837.0,32609.0,31802.0,31661.0,30860.0,32067.0,29455.0,31041.0,30659.0,30065.0,30172.0,29692.0,29223.0,28946.0,28724.0,28426.0,28273.0,28044.0,27799.0,27629.0,27513.0,27577,27083.0,26926.0,26869.0,26307.0,26242.0,25993.0,25781.0,25605.0,25404.0,24730.0,24624.0,24248.0,23926.0,23642.0,23454.0,23303.0,22866.0,22762.0,22280.0,22312.0,21872.0,21797.0,21650.0,21446.0,21070.0,29290.0,29161.0,29029.0,28806.0,28485.0,28237.0,28037.0,27814.0,27268.0,27110.0,26770.0,26456,26323.0,26029.0,25908.0,25360.0,25253,25058.0
K,60,35529.0,35739.0,35883.0,35894.0,36432.0,36143.0,36978.0,37286.0,36895.0,35794.0,35666.0,34865.0,34437.0,34143.0,33835.0,32609.0,31802.0,31661.0,30860.0,32067.0,29454.0,31040.0,30659.0,30064.0,30172.0,29692.0,29222.0,28945.0,28724.0,28426.0,28270.0,28043.0,27797.0,27629.0,27513,27577.0,27082.0,26924.0,26869.0,26307.0,26242.0,25991.0,25779.0,25603.0,25404.0,24728.0,24624.0,24245.0,23925.0,23641.0,23454.0,23302.0,22864.0,22762.0,22280.0,22312.0,21870.0,21796.0,21650.0,21445.0,21070.0,29288.0,29159.0,29027.0,28806.0,28484.0,28235.0,28035.0,27814.0,27267.0,27110.0,26770,26455.0,26321.0,26029.0,25906.0,25357,25252.0
